In135,0.108598,0.00329366,0.755536,0.0294403,0.0955595,0.0113526,0.00573531,0.00754595,0.00111574,472410,600,-10,10
Ag130,0.0542472,0.00324426,0.552164,0.0533418,0.0137635,0.014471,0.00592618,0.0071738,0.000831745,108488,1200,-10,10
In132,0.208365,0.0080972,0.0861104,0.0103749,0.00848699,0.00664227,0.00608487,0.00781463,0.00115024,495634,1200,-10,10
Cd132,0.0922075,0.00194435,0.798224,0.0233673,1.13705e-11,0.00756112,0.00598952,0.00768441,0.00110067,596812,1200,-10,10
Cd133,0.0678263,0.00533492,0.745857,0.0895886,0.0540291,0.0256541,0.00676005,0.00809988,0.000974421,67811.7,600,-10,10
Ag131,0.0500079,0.0080428,0.721165,0.141931,0.0205938,0.0442618,0.0067176,0.00869336,0.000922023,22140.6,600,-10,10
Sn134,0.889303,0.0469856,0.16589,0.0212236,0.0184918,0.00897787,0.00594018,0.00752549,0.00100256,590800,600,-10,10
Sn135,0.429927,0.0289134,0.117917,0.0219486,0.0280976,0.0150668,0.00631593,0.00807719,0.000984793,309490,600,-10,10
In133,0.163491,0.00118499,0.758476,0.00659394,0.00303244,0.00105435,0.00597382,0.00766372,0.00106509,6.47234e+06,1200,-10,10
In131,0.241178,0.00614962,0.0224931,0.00362404,0.00222078,0.00211528,0.00588598,0.0076049,0.00103916,1.54705e+06,1200,-10,10
Cd131,0.100992,0.00136597,0.119046,0.00481441,0.000141727,0.00211185,0.00608906,0.00774128,0.00105797,3.06811e+06,1200,-10,10
In134,0.131195,0.00129773,0.721691,0.0109795,0.111984,0.00476893,0.00608052,0.0077863,0.00109986,2.68399e+06,1200,-10,10
Sn136,0.321235,0.00375962,0.1482,0.00438716,0.00132087,0.000873465,0.0059933,0.00766147,0.00106096,6.23174e+06,1200,-10,10
Sn137,0.216699,0.00422871,0.181653,0.0110553,0.00476161,0.00244074,0.0064398,0.00805203,0.00104643,1.6053e+06,1200,-10,10
Sn138,0.139223,0.0106088,0.157385,0.0424334,0.0238516,0.0179629,0.00587867,0.00779185,0.00121748,114016,600,-10,10
